=================================================
--- Procesamiento iniciado: 2026-04-08 13:42:53 ---
=================================================
=================================================
--- Procesamiento iniciado: 2026-04-22 13:07:05 ---
=================================================
[2026-04-22 13:07:05] | Línea 47 | ERROR: Kilos no es un número válido: '---' | Contenido: '1047;Lugo;---;Entregado'
[2026-04-22 13:07:05] | Línea 2524 | ERROR: Destino vacío | Contenido: '3524;;2888.92;Devuelto'
[2026-04-22 13:07:05] | Línea 2545 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '3545;Sabadell;N/A;Pendiente'
[2026-04-22 13:07:05] | Línea 2546 | ERROR: Destino vacío | Contenido: '3546;;3776.54;Devuelto'
[2026-04-22 13:07:05] | Línea 2548 | ERROR: Kilos no es un número válido: 'null' | Contenido: '3548;Ourense;null;Retrasado'
[2026-04-22 13:07:05] | Línea 2551 | ERROR: Destino vacío | Contenido: '3551;;1294.3;Retrasado'
[2026-04-22 13:07:05] | Línea 2561 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3561;Móstoles;OVERFLOW;Pendiente'
[2026-04-22 13:07:05] | Línea 2567 | ERROR: Destino vacío | Contenido: '3567;;4511.71;Retrasado'
[2026-04-22 13:07:05] | Línea 2571 | ERROR: Destino vacío | Contenido: '3571;;1629.62;Entregado'
[2026-04-22 13:07:05] | Línea 2576 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '3576;Granada;4356.66;Pendiente;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 2585 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3585;Fuenlabrada;-1623.52;Entregado'
[2026-04-22 13:07:05] | Línea 2588 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '3588;Las_Palmas;N/A;En_Ruta'
[2026-04-22 13:07:05] | Línea 2594 | ERROR: ID de envío vacío | Contenido: ';;3644.7;En_Almacén'
[2026-04-22 13:07:05] | Línea 2603 | ERROR: Destino vacío | Contenido: '3603;;1957.11;Entregado'
[2026-04-22 13:07:05] | Línea 2604 | ERROR: Kilos no es un número válido: 'null' | Contenido: '3604;Albacete;null;Entregado'
[2026-04-22 13:07:05] | Línea 2611 | ERROR: ID de envío vacío | Contenido: ';;1082.41;Retrasado'
[2026-04-22 13:07:05] | Línea 2648 | ERROR: Destino vacío | Contenido: '3648;;114.61;Cancelado'
[2026-04-22 13:07:05] | Línea 2656 | ERROR: Destino vacío | Contenido: '3656;;497.16;Retrasado'
[2026-04-22 13:07:05] | Línea 2659 | ERROR: ID de envío vacío | Contenido: ';;3528.88;En_Almacén'
[2026-04-22 13:07:05] | Línea 2673 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '3673;León;N/A;En_Almacén'
[2026-04-22 13:07:05] | Línea 2681 | ERROR: Destino vacío | Contenido: '3681;;2725.41;En_Almacén'
[2026-04-22 13:07:05] | Línea 2710 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3710;Fuenlabrada;OVERFLOW;Cancelado'
[2026-04-22 13:07:05] | Línea 2725 | ERROR: Kilos no es un número válido: 'null' | Contenido: '3725;Bilbao;null;Retrasado'
[2026-04-22 13:07:05] | Línea 2768 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3768;Leganés;OVERFLOW;En_Almacén'
[2026-04-22 13:07:05] | Línea 2775 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '3775;Cuenca;ERROR_PESO;En_Almacén'
[2026-04-22 13:07:05] | Línea 2785 | ERROR: Destino vacío | Contenido: '3785;;3608.56;Cancelado'
[2026-04-22 13:07:05] | Línea 2799 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '3799;Badalona;SENSOR_FAIL;Devuelto'
[2026-04-22 13:07:05] | Línea 2801 | ERROR: Destino vacío | Contenido: '3801;;3372.11;Pendiente'
[2026-04-22 13:07:05] | Línea 2837 | ERROR: Kilos no es un número válido: '---' | Contenido: '3837;Barcelona;---;En_Ruta'
[2026-04-22 13:07:05] | Línea 2839 | ERROR: Kilos no es un número válido: '---' | Contenido: '3839;Las_Palmas;---;En_Ruta'
[2026-04-22 13:07:05] | Línea 2840 | ERROR: Destino vacío | Contenido: '3840;;4913.81;Cancelado'
[2026-04-22 13:07:05] | Línea 2859 | ERROR: ID de envío vacío | Contenido: ';;2673.41;Pendiente'
[2026-04-22 13:07:05] | Línea 2864 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3864;Córdoba;OVERFLOW;Retrasado'
[2026-04-22 13:07:05] | Línea 2867 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3867;Cartagena;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 2883 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3883;Cuenca;-4215.01;Cancelado'
[2026-04-22 13:07:05] | Línea 2901 | ERROR: Kilos no es un número válido: '---' | Contenido: '3901;Badalona;---;Devuelto'
[2026-04-22 13:07:05] | Línea 2917 | ERROR: Destino vacío | Contenido: '3917;;2294.65;En_Ruta'
[2026-04-22 13:07:05] | Línea 2921 | ERROR: Kilos no es un número válido: 'null' | Contenido: '3921;Sabadell;null;Retrasado'
[2026-04-22 13:07:05] | Línea 2931 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '3931;Ávila;SENSOR_FAIL;Cancelado'
[2026-04-22 13:07:05] | Línea 2944 | ERROR: Destino vacío | Contenido: '3944;;2702.13;Pendiente'
[2026-04-22 13:07:05] | Línea 2949 | ERROR: Kilos no es un número válido: '---' | Contenido: '3949;Las_Palmas;---;En_Ruta'
[2026-04-22 13:07:05] | Línea 2963 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3963;Burgos;OVERFLOW;Cancelado'
[2026-04-22 13:07:05] | Línea 2974 | ERROR: Kilos no es un número válido: '---' | Contenido: '3974;Salamanca;---;Cancelado'
[2026-04-22 13:07:05] | Línea 2993 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '3993;Pamplona;ERROR_PESO;Retrasado'
[2026-04-22 13:07:05] | Línea 3015 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4015;Pamplona;-2841.86;Pendiente'
[2026-04-22 13:07:05] | Línea 3022 | ERROR: Destino vacío | Contenido: '4022;;3838.86;Cancelado'
[2026-04-22 13:07:05] | Línea 3044 | ERROR: Kilos no es un número válido: '---' | Contenido: '4044;Jerez;---;Pendiente'
[2026-04-22 13:07:05] | Línea 3059 | ERROR: Kilos no es un número válido: 'null' | Contenido: '4059;Santander;null;Entregado'
[2026-04-22 13:07:05] | Línea 3063 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4063;Ourense;3959.17;Retrasado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3084 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4084;Córdoba;-2382.18;En_Almacén'
[2026-04-22 13:07:05] | Línea 3089 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4089;Santander;-3950.72;Pendiente'
[2026-04-22 13:07:05] | Línea 3107 | ERROR: Destino vacío | Contenido: '4107;;3086.89;Devuelto'
[2026-04-22 13:07:05] | Línea 3114 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '4114;Oviedo;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 3181 | ERROR: Destino vacío | Contenido: '4181;;3091.72;En_Almacén'
[2026-04-22 13:07:05] | Línea 3193 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4193;Lugo;-2905.99;Devuelto'
[2026-04-22 13:07:05] | Línea 3194 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4194;Granada;-2870.69;Retrasado'
[2026-04-22 13:07:05] | Línea 3200 | ERROR: Kilos no es un número válido: 'null' | Contenido: '4200;Ourense;null;En_Ruta'
[2026-04-22 13:07:05] | Línea 3221 | ERROR: Destino vacío | Contenido: '4221;;815.81;Cancelado'
[2026-04-22 13:07:05] | Línea 3233 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '4233;Mérida;ERROR_PESO;Devuelto'
[2026-04-22 13:07:05] | Línea 3240 | ERROR: Kilos no es un número válido: '??' | Contenido: '4240;Lugo;??;En_Almacén'
[2026-04-22 13:07:05] | Línea 3250 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4250;Valladolid;4396.87;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3251 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '4251;Fuenlabrada;ERROR_PESO;Cancelado'
[2026-04-22 13:07:05] | Línea 3254 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4254;Santander;-2803.96;Devuelto'
[2026-04-22 13:07:05] | Línea 3269 | ERROR: Destino vacío | Contenido: '4269;;2049.94;Entregado'
[2026-04-22 13:07:05] | Línea 3277 | ERROR: Destino vacío | Contenido: '4277;;4561.71;En_Almacén'
[2026-04-22 13:07:05] | Línea 3281 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4281;Leganés;-4967.9;Entregado'
[2026-04-22 13:07:05] | Línea 3294 | ERROR: ID de envío vacío | Contenido: ';;3967.7;Devuelto'
[2026-04-22 13:07:05] | Línea 3316 | ERROR: ID de envío vacío | Contenido: ';;1297.37;Pendiente'
[2026-04-22 13:07:05] | Línea 3340 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4340;Pamplona;203.41;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3356 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4356;Valencia;-2905.97;Cancelado'
[2026-04-22 13:07:05] | Línea 3361 | ERROR: Destino vacío | Contenido: '4361;;1219.95;Entregado'
[2026-04-22 13:07:05] | Línea 3365 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4365;Mérida;2669.68;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3385 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '4385;Cuenca;ERROR_PESO;En_Ruta'
[2026-04-22 13:07:05] | Línea 3402 | ERROR: Destino vacío | Contenido: '4402;;3570.67;Pendiente'
[2026-04-22 13:07:05] | Línea 3434 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '4434;Alicante;SENSOR_FAIL;Retrasado'
[2026-04-22 13:07:05] | Línea 3437 | ERROR: Destino vacío | Contenido: '4437;;3758.81;Devuelto'
[2026-04-22 13:07:05] | Línea 3450 | ERROR: Kilos no es un número válido: '??' | Contenido: '4450;Móstoles;??;Devuelto'
[2026-04-22 13:07:05] | Línea 3460 | ERROR: Destino vacío | Contenido: '4460;;3343.24;Entregado'
[2026-04-22 13:07:05] | Línea 3468 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '4468;Bilbao;SENSOR_FAIL;En_Ruta'
[2026-04-22 13:07:05] | Línea 3492 | ERROR: Destino vacío | Contenido: '4492;;3213.72;Devuelto'
[2026-04-22 13:07:05] | Línea 3497 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '4497;Alicante;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 3499 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4499;Bilbao;-3468.69;Pendiente'
[2026-04-22 13:07:05] | Línea 3520 | ERROR: ID de envío vacío | Contenido: ';;4784.14;Entregado'
[2026-04-22 13:07:05] | Línea 3522 | ERROR: Kilos no es un número válido: '??' | Contenido: '4522;Lugo;??;Devuelto'
[2026-04-22 13:07:05] | Línea 3526 | ERROR: Destino vacío | Contenido: '4526;;4319.07;Pendiente'
[2026-04-22 13:07:05] | Línea 3534 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4534;Almería;2171.27;Retrasado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3538 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '4538;León;N/A;En_Ruta'
[2026-04-22 13:07:05] | Línea 3549 | ERROR: Kilos no es un número válido: '---' | Contenido: '4549;Zaragoza;---;En_Ruta'
[2026-04-22 13:07:05] | Línea 3574 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '4574;Santa_Cruz;ERROR_PESO;Entregado'
[2026-04-22 13:07:05] | Línea 3593 | ERROR: Kilos no es un número válido: 'null' | Contenido: '4593;Elche;null;En_Ruta'
[2026-04-22 13:07:05] | Línea 3615 | ERROR: Kilos no es un número válido: '??' | Contenido: '4615;Toledo;??;En_Ruta'
[2026-04-22 13:07:05] | Línea 3620 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '4620;Elche;SENSOR_FAIL;Cancelado'
[2026-04-22 13:07:05] | Línea 3623 | ERROR: Destino vacío | Contenido: '4623;;1410.45;En_Almacén'
[2026-04-22 13:07:05] | Línea 3632 | ERROR: ID de envío vacío | Contenido: ';;792.47;Retrasado'
[2026-04-22 13:07:05] | Línea 3634 | ERROR: Destino vacío | Contenido: '4634;;3364.89;Cancelado'
[2026-04-22 13:07:05] | Línea 3635 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4635;Fuenlabrada;-829.13;En_Ruta'
[2026-04-22 13:07:05] | Línea 3677 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4677;Madrid;-2641.39;Pendiente'
[2026-04-22 13:07:05] | Línea 3678 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4678;Vigo;-2230.61;Devuelto'
[2026-04-22 13:07:05] | Línea 3679 | ERROR: Destino vacío | Contenido: '4679;;1771.34;Devuelto'
[2026-04-22 13:07:05] | Línea 3693 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '4693;León;ERROR_PESO;Cancelado'
[2026-04-22 13:07:05] | Línea 3697 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4697;Valencia;1526.67;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3712 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4712;Córdoba;-4439.99;Pendiente'
[2026-04-22 13:07:05] | Línea 3718 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '4718;Móstoles;N/A;Pendiente'
[2026-04-22 13:07:05] | Línea 3724 | ERROR: Kilos no es un número válido: '---' | Contenido: '4724;Huelva;---;Cancelado'
[2026-04-22 13:07:05] | Línea 3733 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4733;Zaragoza;-307.61;En_Ruta'
[2026-04-22 13:07:05] | Línea 3762 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4762;Barcelona;-2232.09;En_Ruta'
[2026-04-22 13:07:05] | Línea 3766 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '4766;Valladolid;OVERFLOW;Pendiente'
[2026-04-22 13:07:05] | Línea 3767 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4767;Albacete;2443.39;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3818 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4818;Alicante;4763.41;Entregado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3823 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4823;Cartagena;1515.8;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3837 | ERROR: Destino vacío | Contenido: '4837;;4880.91;Retrasado'
[2026-04-22 13:07:05] | Línea 3838 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '4838;Tarragona;N/A;Cancelado'
[2026-04-22 13:07:05] | Línea 3856 | ERROR: ID de envío vacío | Contenido: ';;2124.65;Pendiente'
[2026-04-22 13:07:05] | Línea 3857 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '4857;Toledo;-273.17;Pendiente'
[2026-04-22 13:07:05] | Línea 3863 | ERROR: Destino vacío | Contenido: '4863;;1756.39;Entregado'
[2026-04-22 13:07:05] | Línea 3874 | ERROR: Destino vacío | Contenido: '4874;;4587.07;En_Almacén'
[2026-04-22 13:07:05] | Línea 3876 | ERROR: ID de envío vacío | Contenido: ';;1224.63;Devuelto'
[2026-04-22 13:07:05] | Línea 3901 | ERROR: ID de envío vacío | Contenido: ';;2733.94;Entregado'
[2026-04-22 13:07:05] | Línea 3903 | ERROR: Kilos no es un número válido: '---' | Contenido: '4903;León;---;En_Almacén'
[2026-04-22 13:07:05] | Línea 3942 | ERROR: Kilos no es un número válido: '??' | Contenido: '4942;León;??;En_Ruta'
[2026-04-22 13:07:05] | Línea 3943 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '4943;Santander;SENSOR_FAIL;En_Almacén'
[2026-04-22 13:07:05] | Línea 3953 | ERROR: Destino vacío | Contenido: '4953;;4599.11;Cancelado'
[2026-04-22 13:07:05] | Línea 3956 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '4956;Madrid;2690.4;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 3964 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '4964;Cuenca;ERROR_PESO;En_Ruta'
[2026-04-22 13:07:05] | Línea 3971 | ERROR: Destino vacío | Contenido: '4971;;4978.28;Pendiente'
[2026-04-22 13:07:05] | Línea 3988 | ERROR: Kilos no es un número válido: '??' | Contenido: '4988;Jaén;??;Retrasado'
[2026-04-22 13:07:05] | Línea 4000 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '5000;Ourense;-4598.23;En_Ruta'
[2026-04-22 13:07:05] | Línea 4003 | ERROR: Destino vacío | Contenido: '5003;;2198.61;Retrasado'
[2026-04-22 13:07:05] | Línea 4012 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5012;Málaga;322.41;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4014 | ERROR: Kilos no es un número válido: '??' | Contenido: '5014;Badajoz;??;Entregado'
[2026-04-22 13:07:05] | Línea 4019 | ERROR: Destino vacío | Contenido: '5019;;3153.61;Cancelado'
[2026-04-22 13:07:05] | Línea 4024 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '5024;Santa_Cruz;ERROR_PESO;Entregado'
[2026-04-22 13:07:05] | Línea 4028 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '5028;Cuenca;SENSOR_FAIL;Retrasado'
[2026-04-22 13:07:05] | Línea 4064 | ERROR: Destino vacío | Contenido: '5064;;3855.54;En_Almacén'
[2026-04-22 13:07:05] | Línea 4099 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5099;Alicante;3247.86;Pendiente;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4102 | ERROR: Destino vacío | Contenido: '5102;;3202.24;Entregado'
[2026-04-22 13:07:05] | Línea 4178 | ERROR: Destino vacío | Contenido: '5178;;4429.86;Devuelto'
[2026-04-22 13:07:05] | Línea 4182 | ERROR: Kilos no es un número válido: '---' | Contenido: '5182;Jaén;---;Pendiente'
[2026-04-22 13:07:05] | Línea 4188 | ERROR: Kilos no es un número válido: '??' | Contenido: '5188;Huelva;??;Pendiente'
[2026-04-22 13:07:05] | Línea 4192 | ERROR: Kilos no es un número válido: '---' | Contenido: '5192;Fuenlabrada;---;Devuelto'
[2026-04-22 13:07:05] | Línea 4206 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5206;Ávila;1455.25;Pendiente;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4212 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '5212;Málaga;ERROR_PESO;Entregado'
[2026-04-22 13:07:05] | Línea 4219 | ERROR: Kilos no es un número válido: '---' | Contenido: '5219;Valencia;---;Devuelto'
[2026-04-22 13:07:05] | Línea 4224 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '5224;Jaén;ERROR_PESO;En_Ruta'
[2026-04-22 13:07:05] | Línea 4262 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '5262;Móstoles;N/A;Entregado'
[2026-04-22 13:07:05] | Línea 4267 | ERROR: Destino vacío | Contenido: '5267;;2626.02;En_Ruta'
[2026-04-22 13:07:05] | Línea 4274 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '5274;Córdoba;N/A;En_Ruta'
[2026-04-22 13:07:05] | Línea 4285 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5285;Murcia;3024.71;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4302 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5302;Murcia;1187.57;Retrasado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4332 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5332;Elche;808.29;En_Ruta;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4355 | ERROR: Kilos no es un número válido: '??' | Contenido: '5355;Córdoba;??;En_Ruta'
[2026-04-22 13:07:05] | Línea 4388 | ERROR: Kilos no es un número válido: '??' | Contenido: '5388;Elche;??;Retrasado'
[2026-04-22 13:07:05] | Línea 4398 | ERROR: ID de envío vacío | Contenido: ';;249.5;Pendiente'
[2026-04-22 13:07:05] | Línea 4416 | ERROR: ID de envío vacío | Contenido: ';;2785.0;Retrasado'
[2026-04-22 13:07:05] | Línea 4418 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '5418;Albacete;-2168.01;En_Ruta'
[2026-04-22 13:07:05] | Línea 4435 | ERROR: Kilos no es un número válido: 'null' | Contenido: '5435;Móstoles;null;Pendiente'
[2026-04-22 13:07:05] | Línea 4452 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '5452;Leganés;OVERFLOW;En_Almacén'
[2026-04-22 13:07:05] | Línea 4465 | ERROR: Kilos no es un número válido: 'null' | Contenido: '5465;Albacete;null;Entregado'
[2026-04-22 13:07:05] | Línea 4470 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '5470;Madrid;-2148.1;Pendiente'
[2026-04-22 13:07:05] | Línea 4475 | ERROR: Kilos no es un número válido: 'null' | Contenido: '5475;Segovia;null;En_Almacén'
[2026-04-22 13:07:05] | Línea 4484 | ERROR: ID de envío vacío | Contenido: ';;986.36;Entregado'
[2026-04-22 13:07:05] | Línea 4488 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '5488;Elche;ERROR_PESO;En_Almacén'
[2026-04-22 13:07:05] | Línea 4529 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '5529;Huelva;-1119.76;Retrasado'
[2026-04-22 13:07:05] | Línea 4558 | ERROR: Kilos no es un número válido: '---' | Contenido: '5558;Cartagena;---;Entregado'
[2026-04-22 13:07:05] | Línea 4579 | ERROR: Kilos no es un número válido: '??' | Contenido: '5579;Segovia;??;Cancelado'
[2026-04-22 13:07:05] | Línea 4581 | ERROR: Destino vacío | Contenido: '5581;;4919.04;En_Ruta'
[2026-04-22 13:07:05] | Línea 4600 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '5600;Ourense;ERROR_PESO;Retrasado'
[2026-04-22 13:07:05] | Línea 4642 | ERROR: Kilos no es un número válido: '---' | Contenido: '5642;Jerez;---;Retrasado'
[2026-04-22 13:07:05] | Línea 4679 | ERROR: Kilos no es un número válido: 'null' | Contenido: '5679;Tarragona;null;Cancelado'
[2026-04-22 13:07:05] | Línea 4687 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5687;Almería;2873.19;Entregado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4703 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '5703;Málaga;N/A;Cancelado'
[2026-04-22 13:07:05] | Línea 4724 | ERROR: Kilos no es un número válido: '??' | Contenido: '5724;Palma;??;En_Ruta'
[2026-04-22 13:07:05] | Línea 4731 | ERROR: Destino vacío | Contenido: '5731;;2950.81;Retrasado'
[2026-04-22 13:07:05] | Línea 4754 | ERROR: Destino vacío | Contenido: '5754;;4788.7;Entregado'
[2026-04-22 13:07:05] | Línea 4758 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '5758;Jaén;N/A;Entregado'
[2026-04-22 13:07:05] | Línea 4762 | ERROR: Kilos no es un número válido: '---' | Contenido: '5762;Zaragoza;---;Cancelado'
[2026-04-22 13:07:05] | Línea 4767 | ERROR: Destino vacío | Contenido: '5767;;3162.46;En_Almacén'
[2026-04-22 13:07:05] | Línea 4782 | ERROR: Destino vacío | Contenido: '5782;;2179.59;En_Almacén'
[2026-04-22 13:07:05] | Línea 4785 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '5785;Las_Palmas;-4083.87;En_Ruta'
[2026-04-22 13:07:05] | Línea 4793 | ERROR: ID de envío vacío | Contenido: ';;2608.04;Retrasado'
[2026-04-22 13:07:05] | Línea 4794 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5794;Oviedo;4347.07;Retrasado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4804 | ERROR: Destino vacío | Contenido: '5804;;260.78;Entregado'
[2026-04-22 13:07:05] | Línea 4817 | ERROR: Destino vacío | Contenido: '5817;;4537.88;Pendiente'
[2026-04-22 13:07:05] | Línea 4822 | ERROR: ID de envío vacío | Contenido: ';;4771.3;En_Almacén'
[2026-04-22 13:07:05] | Línea 4824 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '5824;Las_Palmas;SENSOR_FAIL;Cancelado'
[2026-04-22 13:07:05] | Línea 4829 | ERROR: Destino vacío | Contenido: '5829;;4144.99;Cancelado'
[2026-04-22 13:07:05] | Línea 4844 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '5844;Toledo;430.13;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 4856 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '5856;Badalona;N/A;Retrasado'
[2026-04-22 13:07:05] | Línea 4864 | ERROR: Destino vacío | Contenido: '5864;;4065.83;Devuelto'
[2026-04-22 13:07:05] | Línea 4892 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '5892;Terrassa;SENSOR_FAIL;En_Ruta'
[2026-04-22 13:07:05] | Línea 4905 | ERROR: ID de envío vacío | Contenido: ';;455.16;Entregado'
[2026-04-22 13:07:05] | Línea 4916 | ERROR: Kilos no es un número válido: '??' | Contenido: '5916;Cuenca;??;Cancelado'
[2026-04-22 13:07:05] | Línea 4957 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '5957;Zaragoza;ERROR_PESO;Retrasado'
[2026-04-22 13:07:05] | Línea 4964 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '5964;Barcelona;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 4969 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '5969;Huelva;OVERFLOW;Cancelado'
[2026-04-22 13:07:05] | Línea 4976 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '5976;Murcia;OVERFLOW;En_Almacén'
[2026-04-22 13:07:05] | Línea 4988 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '5988;Toledo;OVERFLOW;Retrasado'
